acl	2.3.2-2+b1	acl	2.3.2-2
adduser	3.152	adduser	3.152
apt	3.0.3	apt	3.0.3
avahi-daemon	0.8-16	avahi	0.8-16
base-files	13.8+deb13u7	base-files	13.8+deb13u7
base-passwd	3.6.7	base-passwd	3.6.7
bash	5.2.37-2+b10	bash	5.2.37-2
bc	1.07.1-4	bc	1.07.1-4
bsdutils	1:2.41.5-0+deb13u1	util-linux	2.41.5-0+deb13u1
coreutils	9.7-3	coreutils	9.7-3
cups	2.4.10-3+deb13u2	cups	2.4.10-3+deb13u2
cups-bsd	2.4.10-3+deb13u2	cups	2.4.10-3+deb13u2
cups-client	2.4.10-3+deb13u2	cups	2.4.10-3+deb13u2
cups-common	2.4.10-3+deb13u2	cups	2.4.10-3+deb13u2
cups-core-drivers	2.4.10-3+deb13u2	cups	2.4.10-3+deb13u2
cups-daemon	2.4.10-3+deb13u2	cups	2.4.10-3+deb13u2
cups-filters	1.28.17-6+deb13u1	cups-filters	1.28.17-6+deb13u1
cups-filters-core-drivers	1.28.17-6+deb13u1	cups-filters	1.28.17-6+deb13u1
cups-ipp-utils	2.4.10-3+deb13u2	cups	2.4.10-3+deb13u2
cups-ppdc	2.4.10-3+deb13u2	cups	2.4.10-3+deb13u2
cups-server-common	2.4.10-3+deb13u2	cups	2.4.10-3+deb13u2
dash	0.5.12-12	dash	0.5.12-12
dbus	1.16.2-2	dbus	1.16.2-2
dbus-bin	1.16.2-2	dbus	1.16.2-2
dbus-daemon	1.16.2-2	dbus	1.16.2-2
dbus-session-bus-common	1.16.2-2	dbus	1.16.2-2
dbus-system-bus-common	1.16.2-2	dbus	1.16.2-2
dc	1.07.1-4	bc	1.07.1-4
debconf	1.5.91	debconf	1.5.91
debian-archive-keyring	2025.1	debian-archive-keyring	2025.1
debianutils	5.23.2	debianutils	5.23.2
diffutils	1:3.10-4	diffutils	1:3.10-4
dirmngr	2.4.7-21+deb13u1+b5	gnupg2	2.4.7-21+deb13u1
dpkg	1.22.22	dpkg	1.22.22
findutils	4.10.0-3	findutils	4.10.0-3
fontconfig-config	2.15.0-2.3	fontconfig	2.15.0-2.3
fonts-dejavu-core	2.37-8	fonts-dejavu	2.37-8
fonts-dejavu-mono	2.37-8	fonts-dejavu	2.37-8
fonts-urw-base35	20200910-8	fonts-urw-base35	20200910-8
foomatic-db-compressed-ppds	20230202-1	foomatic-db	20230202-1
gcc-14-base	14.2.0-19	gcc-14	14.2.0-19
ghostscript	10.05.1~dfsg-1+deb13u1	ghostscript	10.05.1~dfsg-1+deb13u1
gir1.2-girepository-2.0	1.84.0-1	gobject-introspection	1.84.0-1
gir1.2-glib-2.0	2.84.4-3~deb13u5	glib2.0	2.84.4-3~deb13u5
gnupg	2.4.7-21+deb13u1	gnupg2	2.4.7-21+deb13u1
gnupg-l10n	2.4.7-21+deb13u1	gnupg2	2.4.7-21+deb13u1
gpg	2.4.7-21+deb13u1+b5	gnupg2	2.4.7-21+deb13u1
gpg-agent	2.4.7-21+deb13u1+b5	gnupg2	2.4.7-21+deb13u1
gpgconf	2.4.7-21+deb13u1+b5	gnupg2	2.4.7-21+deb13u1
gpgsm	2.4.7-21+deb13u1+b5	gnupg2	2.4.7-21+deb13u1
grep	3.11-4	grep	3.11-4
gzip	1.13-1+deb13u1	gzip	1.13-1+deb13u1
hostname	3.25	hostname	3.25
hplip	3.22.10+dfsg0-8.1+deb13u1	hplip	3.22.10+dfsg0-8.1+deb13u1
hplip-data	3.22.10+dfsg0-8.1+deb13u1	hplip	3.22.10+dfsg0-8.1+deb13u1
init-system-helpers	1.69~deb13u1	init-system-helpers	1.69~deb13u1
libabsl20240722	20240722.0-4	abseil	20240722.0-4
libacl1	2.3.2-2+b1	acl	2.3.2-2
