acl	2.3.2-2	acl	2.3.2-2
adduser	3.153ubuntu1	adduser	3.153ubuntu1
apt	3.2.0	apt	3.2.0
avahi-daemon	0.8-18ubuntu1.1	avahi	0.8-18ubuntu1.1
base-files	14ubuntu6.2	base-files	14ubuntu6.2
base-passwd	3.6.8	base-passwd	3.6.8
bash	5.3-2ubuntu1	bash	5.3-2ubuntu1
bc	1.07.1-4build1	bc	1.07.1-4build1
bsdutils	1:2.41.3-3ubuntu2.2	util-linux	2.41.3-3ubuntu2.2
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25	coreutils-from	0.0.0~ubuntu25
coreutils-from-uutils	0.0.0~ubuntu25	coreutils-from	0.0.0~ubuntu25
cups	2.4.16-1ubuntu1.3	cups	2.4.16-1ubuntu1.3
cups-bsd	2.4.16-1ubuntu1.3	cups	2.4.16-1ubuntu1.3
cups-client	2.4.16-1ubuntu1.3	cups	2.4.16-1ubuntu1.3
cups-common	2.4.16-1ubuntu1.3	cups	2.4.16-1ubuntu1.3
cups-core-drivers	2.4.16-1ubuntu1.3	cups	2.4.16-1ubuntu1.3
cups-daemon	2.4.16-1ubuntu1.3	cups	2.4.16-1ubuntu1.3
cups-filters	2.0.1-0ubuntu4.1	cups-filters	2.0.1-0ubuntu4.1
cups-filters-core-drivers	2.0.1-0ubuntu4.1	cups-filters	2.0.1-0ubuntu4.1
cups-ipp-utils	2.4.16-1ubuntu1.3	cups	2.4.16-1ubuntu1.3
cups-ppdc	2.4.16-1ubuntu1.3	cups	2.4.16-1ubuntu1.3
cups-server-common	2.4.16-1ubuntu1.3	cups	2.4.16-1ubuntu1.3
dash	0.5.12-12ubuntu3	dash	0.5.12-12ubuntu3
dbus	1.16.2-2ubuntu4	dbus	1.16.2-2ubuntu4
dbus-bin	1.16.2-2ubuntu4	dbus	1.16.2-2ubuntu4
dbus-daemon	1.16.2-2ubuntu4	dbus	1.16.2-2ubuntu4
dbus-session-bus-common	1.16.2-2ubuntu4	dbus	1.16.2-2ubuntu4
dbus-system-bus-common	1.16.2-2ubuntu4	dbus	1.16.2-2ubuntu4
dbus-user-session	1.16.2-2ubuntu4	dbus	1.16.2-2ubuntu4
dc	1.07.1-4build1	bc	1.07.1-4build1
dconf-gsettings-backend	0.49.0-4	dconf	0.49.0-4
dconf-service	0.49.0-4	dconf	0.49.0-4
debconf	1.5.92	debconf	1.5.92
debianutils	5.23.2build1	debianutils	5.23.2build1
diffutils	1:3.12-1ubuntu0.1	diffutils	1:3.12-1ubuntu0.1
dirmngr	2.4.8-4ubuntu3.1	gnupg2	2.4.8-4ubuntu3.1
dpkg	1.23.7ubuntu1	dpkg	1.23.7ubuntu1
e2fsprogs	1.47.2-3ubuntu4	e2fsprogs	1.47.2-3ubuntu4
findutils	4.10.0-3build2	findutils	4.10.0-3build2
fontconfig-config	2.17.1-3ubuntu1	fontconfig	2.17.1-3ubuntu1
fonts-urw-base35	20200910-8build1	fonts-urw-base35	20200910-8build1
foomatic-db-compressed-ppds	20250819-1build1	foomatic-db	20250819-1build1
gcc-16-base	16-20260322-1ubuntu1	gcc-16	16-20260322-1ubuntu1
ghostscript	10.06.0~dfsg-3ubuntu1	ghostscript	10.06.0~dfsg-3ubuntu1
gir1.2-girepository-3.0	2.88.0-1	glib2.0	2.88.0-1
gir1.2-glib-2.0	2.88.0-1	glib2.0	2.88.0-1
glib-networking	2.80.1-1build2	glib-networking	2.80.1-1build2
glib-networking-common	2.80.1-1build2	glib-networking	2.80.1-1build2
glib-networking-services	2.80.1-1build2	glib-networking	2.80.1-1build2
gnu-coreutils	9.7-3ubuntu2.1	coreutils	9.7-3ubuntu2.1
gnupg	2.4.8-4ubuntu3.1	gnupg2	2.4.8-4ubuntu3.1
gpg	2.4.8-4ubuntu3.1	gnupg2	2.4.8-4ubuntu3.1
gpg-agent	2.4.8-4ubuntu3.1	gnupg2	2.4.8-4ubuntu3.1
gpgconf	2.4.8-4ubuntu3.1	gnupg2	2.4.8-4ubuntu3.1
gpgsm	2.4.8-4ubuntu3.1	gnupg2	2.4.8-4ubuntu3.1
gpgv	2.4.8-4ubuntu3.1	gnupg2	2.4.8-4ubuntu3.1
grep	3.12-1	grep	3.12-1
gsettings-desktop-schemas	50.0-1ubuntu2	gsettings-desktop-schemas	50.0-1ubuntu2
gzip	1.14-1~exp2ubuntu1.1	gzip	1.14-1~exp2ubuntu1.1
hostname	3.25build1	hostname	3.25build1
hplip	3.24.4+dfsg0-0ubuntu8.1	hplip	3.24.4+dfsg0-0ubuntu8.1
hplip-data	3.24.4+dfsg0-0ubuntu8.1	hplip	3.24.4+dfsg0-0ubuntu8.1
init-system-helpers	1.69	init-system-helpers	1.69
libacl1	2.3.2-2	acl	2.3.2-2
libaom3	3.13.1-2	aom	3.13.1-2
libapparmor1	5.0.2-0ubuntu1~26.04.1	apparmor	5.0.2-0ubuntu1~26.04.1
libapt-pkg7.0	3.2.0	apt	3.2.0
libassuan9	3.0.2-2build1	libassuan	3.0.2-2build1
libatomic1	16-20260322-1ubuntu1	gcc-16	16-20260322-1ubuntu1
libattr1	1:2.5.2-4ubuntu0.1	attr	1:2.5.2-4ubuntu0.1
libaudit-common	1:4.1.2-1ubuntu0.1	audit	1:4.1.2-1ubuntu0.1
libaudit1	1:4.1.2-1ubuntu0.1	audit	1:4.1.2-1ubuntu0.1
